Transaction ID,Item,Cleaned_Item,Quantity,Price Per Unit,Cleaned_Price_Per_Unit,Total Spent,Revenue per Unit,Payment Method,Location,Transaction Date
TXN_5183041,Cookie,Cookie,5,1,1,5,1,Credit Card,In-store,20-04-2023
TXN_5695074,Juice,Juice,4,3,3,12,3,Credit Card,Takeaway,10-04-2023
TXN_8467949,Smoothie,Smoothie,5,4,4,20,4,Credit Card,Unknown,11-03-2023
TXN_1736287,Unknown,Coffee,5,2,2,10,2,Digital Wallet,Unknown,02-06-2023
TXN_8927252,Unknown,Cookie,2,1,1,2,1,Credit Card,Unknown,06-11-2023
TXN_9677376,Smoothie,Smoothie,4,4,4,16,4,Unknown,In-store,15-08-2023
TXN_8853997,Smoothie,Smoothie,2,4,4,8,4,Digital Wallet,Takeaway,09-10-2023
TXN_9130559,Sandwich,Sandwich,1,4,4,4,4,Credit Card,Unknown,28-05-2023
TXN_6855453,Unknown,Cake,4,3,3,12,3,Unknown,In-store,17-07-2023
TXN_1080432,Salad,Salad,2,5,5,10,5,Credit Card,In-store,29-04-2023
TXN_2655815,Smoothie,Smoothie,4,4,4,16,4,Unknown,Takeaway,08-06-2023
TXN_6688524,Coffee,Coffee,4,2,2,8,2,Unknown,Unknown,29-06-2023
TXN_2083138,Smoothie,Smoothie,3,4,4,12,4,Unknown,In-store,17-04-2023
TXN_2427584,Sandwich,Sandwich,4,4,4,16,4,Unknown,Takeaway,22-12-2023
TXN_6650263,Tea,Tea,2,2,1.5,3,1.5,Unknown,Takeaway,10-01-2023
TXN_9620080,Juice,Juice,4,3,3,12,3,Unknown,Takeaway,02-10-2023
TXN_1491578,Cookie,Cookie,2,1,1,2,1,Unknown,Unknown,23-02-2023
TXN_5455792,Salad,Salad,3,5,5,15,5,Cash,Unknown,22-03-2023
TXN_8078640,Juice,Juice,4,3,3,12,3,Digital Wallet,In-store,03-11-2023
TXN_9499313,Juice,Juice,5,3,3,15,3,Unknown,Unknown,02-03-2023
TXN_8201146,Juice,Juice,5,3,3,15,3,Cash,Unknown,26-06-2023
TXN_8230936,Cake,Cake,3,3,3,9,3,Unknown,Unknown,02-05-2023
TXN_7742742,Cake,Cake,5,3,3,15,3,Unknown,Takeaway,05-09-2023
TXN_6342161,Salad,Salad,5,5,5,25,5,Unknown,Takeaway,08-01-2023
TXN_8914892,Unknown,Salad,5,5,5,25,5,Digital Wallet,Unknown,15-03-2023
TXN_3363746,Smoothie,Smoothie,3,4,4,12,4,Credit Card,Unknown,25-11-2023
TXN_8614868,Smoothie,Smoothie,5,4,4,20,4,Digital Wallet,Takeaway,05-12-2023
TXN_5522862,Cookie,Cookie,2,1,1,2,1,Credit Card,Takeaway,19-03-2023
TXN_3578141,Cake,Cake,5,3,3,15,3,Unknown,Takeaway,27-06-2023
TXN_2080895,Cake,Cake,1,3,3,3,3,Digital Wallet,In-store,19-04-2023
TXN_6421134,Sandwich,Sandwich,4,4,4,16,4,Cash,Takeaway,03-11-2023
TXN_8813311,Juice,Juice,5,3,3,15,3,Unknown,In-store,07-10-2023
TXN_9023317,Salad,Salad,1,5,5,5,5,Unknown,Unknown,30-09-2023
TXN_8051289,Unknown,Cake,1,3,3,3,3,Unknown,In-store,09-10-2023
TXN_2537617,Sandwich,Sandwich,1,4,4,4,4,Cash,Unknown,27-05-2023
TXN_9099694,Unknown,Salad,3,5,5,15,5,Unknown,Takeaway,18-11-2023
TXN_9230615,Smoothie,Smoothie,4,4,4,16,4,Digital Wallet,Unknown,01-06-2023
TXN_4987129,Sandwich,Sandwich,3,4,4,12,4,Unknown,In-store,20-10-2023
TXN_8501819,Juice,Juice,2,3,3,6,3,Cash,Unknown,30-03-2023
TXN_3068204,Cookie,Cookie,1,1,1,1,1,Credit Card,Takeaway,03-10-2023
TXN_8427104,Salad,Salad,2,5,5,10,5,Unknown,In-store,27-10-2023
TXN_8471743,Unknown,Cake,5,3,3,15,3,Digital Wallet,In-store,06-04-2023
TXN_2621580,Tea,Tea,2,2,1.5,3,1.5,Cash,In-store,22-03-2023
TXN_4726376,Cake,Cake,2,3,3,6,3,Credit Card,In-store,31-01-2023
TXN_6044979,Unknown,Cookie,1,1,1,1,1,Cash,In-store,08-12-2023
TXN_4238417,Salad,Salad,2,5,5,10,5,Unknown,Unknown,19-06-2023
TXN_1900620,Smoothie,Smoothie,2,4,4,8,4,Credit Card,Unknown,14-12-2023
TXN_6420335,Coffee,Coffee,1,2,2,2,2,Cash,Takeaway,16-07-2023
TXN_3858209,Sandwich,Sandwich,4,4,4,16,4,Cash,Unknown,22-02-2023
TXN_8735480,Tea,Tea,5,2,1.5,7.5,1.5,Cash,Unknown,02-06-2023
TXN_3829165,Juice,Juice,4,3,3,12,3,Cash,In-store,15-06-2023
TXN_3748616,Coffee,Coffee,2,2,2,4,2,Credit Card,In-store,09-12-2023
TXN_1993289,Sandwich,Sandwich,2,4,4,8,4,Unknown,In-store,18-04-2023
TXN_2123367,Cookie,Cookie,2,1,1,2,1,Unknown,Unknown,07-11-2023
TXN_5266394,Cake,Cake,3,3,3,9,3,Cash,In-store,28-10-2023
TXN_5107946,Cake,Cake,4,3,3,12,3,Credit Card,Unknown,22-12-2023
TXN_8035512,Tea,Tea,3,2,1.5,4.5,1.5,Cash,Unknown,29-10-2023
TXN_8718498,Cake,Cake,5,3,3,15,3,Credit Card,Unknown,30-04-2023
TXN_3955361,Cookie,Cookie,5,1,1,5,1,Unknown,Takeaway,02-04-2023
TXN_9487821,Unknown,Salad,1,5,5,5,5,Digital Wallet,Takeaway,24-05-2023
TXN_4132730,Unknown,Cookie,5,1,1,5,1,Unknown,In-store,12-03-2023
TXN_8976658,Tea,Tea,2,2,1.5,3,1.5,Credit Card,In-store,16-08-2023
TXN_5455936,Unknown,Cake,5,3,3,15,3,Unknown,In-store,28-10-2023
TXN_2725602,Juice,Juice,5,3,3,15,3,Credit Card,Unknown,10-09-2023
TXN_3011323,Coffee,Coffee,3,2,2,6,2,Credit Card,Unknown,07-03-2023
TXN_6289610,Juice,Juice,3,3,3,9,3,Cash,Takeaway,07-08-2023
TXN_8268061,Salad,Salad,3,5,5,15,5,Unknown,Takeaway,20-08-2023
TXN_5220895,Salad,Salad,5,5,5,25,5,Cash,In-store,10-06-2023
TXN_3085509,Coffee,Coffee,4,2,2,8,2,Digital Wallet,In-store,15-04-2023
TXN_9999113,Juice,Juice,4,3,3,12,3,Cash,Takeaway,27-05-2023
TXN_8779771,Coffee,Coffee,4,2,2,8,2,Cash,In-store,25-07-2023
TXN_9517146,Unknown,Salad,5,5,5,25,5,Cash,Takeaway,30-10-2023
TXN_1621920,Salad,Salad,3,5,5,15,5,Unknown,Takeaway,28-10-2023
TXN_3808639,Juice,Juice,2,3,3,6,3,Digital Wallet,Takeaway,15-12-2023
TXN_6955416,Salad,Salad,4,5,5,20,5,Unknown,In-store,25-02-2023
TXN_3775339,Cookie,Cookie,3,1,1,3,1,Credit Card,Unknown,03-04-2023
TXN_9547091,Cookie,Cookie,3,1,1,3,1,Credit Card,Unknown,08-10-2023
TXN_4358673,Cookie,Cookie,5,1,1,5,1,Digital Wallet,Takeaway,28-12-2023
TXN_4174591,Tea,Tea,4,2,1.5,6,1.5,Digital Wallet,Unknown,30-08-2023
TXN_3398520,Sandwich,Sandwich,1,4,4,4,4,Unknown,In-store,03-02-2023
TXN_6171384,Smoothie,Smoothie,2,4,4,8,4,Credit Card,Unknown,12-09-2023
TXN_2530938,Smoothie,Smoothie,5,4,4,20,4,Unknown,Takeaway,27-04-2023
TXN_3314971,Juice,Juice,3,3,3,9,3,Digital Wallet,Unknown,04-05-2023
TXN_3092382,Coffee,Coffee,5,2,2,10,2,Digital Wallet,Unknown,21-02-2023
TXN_1535311,Juice,Juice,3,3,3,9,3,Cash,Unknown,16-03-2023
TXN_2148617,Juice,Juice,3,3,3,9,3,Digital Wallet,Unknown,10-01-2023
TXN_4633784,Unknown,Cake,5,,3,15,3,Unknown,In-store,06-02-2023
TXN_4368416,Salad,Salad,2,5,5,10,5,Credit Card,Takeaway,24-02-2023
TXN_9790731,Cake,Cake,2,3,3,6,3,Unknown,Unknown,02-06-2023
TXN_9339456,Coffee,Coffee,3,2,2,6,2,Unknown,Takeaway,29-03-2023
TXN_5179020,Cake,Cake,2,3,3,6,3,Unknown,Takeaway,18-06-2023
TXN_6258471,Coffee,Coffee,5,2,2,10,2,Digital Wallet,In-store,23-09-2023
TXN_7945375,Juice,Juice,3,3,3,9,3,Unknown,Unknown,14-01-2023
TXN_4685453,Tea,Tea,4,2,1.5,6,1.5,Cash,In-store,14-09-2023
TXN_9646452,Juice,Juice,5,3,3,15,3,Credit Card,Unknown,16-09-2023
TXN_9096052,Smoothie,Smoothie,4,4,4,16,4,Credit Card,Takeaway,28-12-2023
TXN_5916991,Juice,Juice,2,3,3,6,3,Digital Wallet,Takeaway,06-02-2023
TXN_3407169,Sandwich,Sandwich,2,4,4,8,4,Cash,In-store,11-03-2023
TXN_2277042,Tea,Tea,1,2,1.5,1.5,1.5,Cash,Unknown,08-04-2023
TXN_9273729,Tea,Tea,1,2,1.5,1.5,1.5,Unknown,Unknown,19-12-2023
TXN_2181545,Juice,Juice,4,3,3,12,3,Credit Card,Takeaway,14-07-2023
TXN_1150033,Juice,Juice,5,3,3,15,3,Cash,In-store,18-04-2023
TXN_1443912,Juice,Juice,2,3,3,6,3,Unknown,Unknown,08-06-2023
TXN_8700451,Tea,Tea,5,2,1.5,7.5,1.5,Credit Card,Takeaway,12-12-2023
TXN_6380550,Coffee,Coffee,5,2,2,10,2,Cash,In-store,05-01-2023
TXN_4885518,Salad,Salad,3,5,5,15,5,Credit Card,In-store,10-06-2023
TXN_3972167,Sandwich,Sandwich,5,4,4,20,4,Unknown,In-store,23-01-2023
TXN_4878378,Tea,Tea,1,2,1.5,1.5,1.5,Credit Card,Unknown,20-02-2023
TXN_2484241,Cake,Cake,3,3,3,9,3,Digital Wallet,Unknown,19-07-2023
TXN_2368126,Cake,Cake,5,3,3,15,3,Unknown,In-store,06-12-2023
TXN_8495063,Juice,Juice,1,3,3,3,3,Cash,Unknown,31-05-2023
TXN_4811133,Salad,Salad,2,5,5,10,5,Cash,Unknown,11-08-2023
TXN_8729570,Tea,Tea,5,2,1.5,7.5,1.5,Unknown,In-store,03-09-2023
TXN_7623634,Cake,Cake,2,3,3,6,3,Credit Card,In-store,11-07-2023
TXN_9336980,Salad,Salad,4,5,5,20,5,Cash,In-store,06-06-2023
TXN_3424331,Cake,Cake,4,3,3,12,3,Unknown,Unknown,18-01-2023
TXN_5072031,Cake,Cake,2,3,3,6,3,Cash,Takeaway,23-03-2023
TXN_8687151,Salad,Salad,5,5,5,25,5,Cash,Unknown,10-06-2023
TXN_4031509,Unknown,Smoothie,4,,4,16,4,Credit Card,Takeaway,04-01-2023
TXN_5265095,Coffee,Coffee,1,2,2,2,2,Unknown,Unknown,23-06-2023
TXN_6541415,Unknown,Cake,4,3,3,12,3,Cash,In-store,25-11-2023
TXN_4108138,Coffee,Coffee,5,2,2,10,2,Cash,Unknown,03-08-2023
TXN_1909796,Smoothie,Smoothie,2,4,4,8,4,Unknown,Takeaway,12-07-2023
TXN_1928241,Coffee,Coffee,3,2,2,6,2,Cash,In-store,30-04-2023
TXN_4283157,Salad,Salad,5,5,5,25,5,Digital Wallet,In-store,25-11-2023
TXN_8013032,Coffee,Coffee,2,2,2,4,2,Credit Card,Unknown,07-03-2023
TXN_8301424,Juice,Juice,2,3,3,6,3,Unknown,Unknown,27-06-2023
TXN_7965998,Juice,Juice,1,3,3,3,3,Credit Card,In-store,02-11-2023
TXN_9238666,Cookie,Cookie,1,1,1,1,1,Unknown,Takeaway,31-07-2023
TXN_1631695,Tea,Tea,2,2,1.5,3,1.5,Unknown,In-store,19-09-2023
TXN_1435086,Cake,Cake,5,3,3,15,3,Unknown,Unknown,09-02-2023
TXN_3226832,Unknown,Smoothie,5,4,4,20,4,Cash,Unknown,04-09-2023
TXN_1648671,Sandwich,Sandwich,3,4,4,12,4,Cash,Takeaway,21-05-2023
TXN_4062737,Cake,Cake,3,3,3,9,3,Cash,In-store,02-07-2023
TXN_3494565,Unknown,Smoothie,2,4,4,8,4,Unknown,Unknown,10-07-2023
TXN_9249507,Cookie,Cookie,4,1,1,4,1,Credit Card,In-store,21-11-2023
TXN_4689500,Sandwich,Sandwich,4,4,4,16,4,Unknown,Unknown,02-12-2023
TXN_8989148,Tea,Tea,2,2,1.5,3,1.5,Unknown,Unknown,25-11-2023
TXN_8316826,Coffee,Coffee,3,2,2,6,2,Unknown,In-store,17-04-2023
TXN_9836934,Cookie,Cookie,3,1,1,3,1,Digital Wallet,In-store,13-03-2023
TXN_8005489,Cake,Cake,3,3,3,9,3,Unknown,In-store,12-08-2023
TXN_3925836,Cookie,Cookie,3,1,1,3,1,Digital Wallet,In-store,16-02-2023
TXN_1896955,Salad,Salad,5,5,5,25,5,Unknown,In-store,23-09-2023
TXN_5075974,Smoothie,Smoothie,4,4,4,16,4,Digital Wallet,Unknown,11-04-2023
TXN_3978874,Smoothie,Smoothie,5,4,4,20,4,Credit Card,In-store,13-03-2023
TXN_8955912,Sandwich,Sandwich,1,4,4,4,4,Unknown,Unknown,07-11-2023
TXN_1136554,Smoothie,Smoothie,3,4,4,12,4,Unknown,Takeaway,26-03-2023
TXN_8007337,Cake,Cake,2,3,3,6,3,Digital Wallet,Takeaway,01-11-2023
TXN_8129834,Salad,Salad,1,5,5,5,5,Cash,Unknown,22-07-2023
TXN_3831848,Unknown,Smoothie,1,4,4,4,4,Digital Wallet,Takeaway,03-11-2023
TXN_5365809,Cake,Cake,3,3,3,9,3,Cash,In-store,14-09-2023
TXN_8166407,Smoothie,Smoothie,2,4,4,8,4,Unknown,Unknown,26-07-2023
TXN_6629480,Smoothie,Smoothie,5,4,4,20,4,Credit Card,In-store,28-02-2023
TXN_3833797,Coffee,Coffee,4,2,2,8,2,Unknown,In-store,27-01-2023
TXN_2643815,Cookie,Cookie,3,1,1,3,1,Unknown,Unknown,06-12-2023
TXN_2996519,Cake,Cake,5,3,3,15,3,Cash,Unknown,19-01-2023
TXN_8810894,Smoothie,Smoothie,1,4,4,4,4,Unknown,Unknown,20-02-2023
TXN_7412722,Juice,Juice,4,3,3,12,3,Cash,In-store,07-04-2023
TXN_3937509,Smoothie,Smoothie,2,4,4,8,4,Unknown,In-store,20-03-2023
TXN_6000201,Cookie,Cookie,3,1,1,3,1,Cash,Takeaway,16-02-2023
TXN_1714274,Cookie,Cookie,4,1,1,4,1,Unknown,In-store,27-12-2023
TXN_3800182,Tea,Tea,2,2,1.5,3,1.5,Cash,In-store,26-10-2023
TXN_5115080,Unknown,Cake,5,3,3,15,3,Credit Card,Unknown,18-02-2023
TXN_9788956,Juice,Juice,4,3,3,12,3,Unknown,Unknown,11-04-2023
TXN_6311602,Juice,Juice,3,3,3,9,3,Credit Card,Unknown,15-05-2023
TXN_2950680,Coffee,Coffee,2,2,2,4,2,Credit Card,Takeaway,10-12-2023
TXN_6749847,Cake,Cake,2,3,3,6,3,Credit Card,Unknown,15-08-2023
TXN_2143187,Smoothie,Smoothie,1,4,4,4,4,Unknown,In-store,21-04-2023
TXN_8964522,Unknown,Cake,3,3,3,9,3,Credit Card,Takeaway,28-10-2023
TXN_4088917,Coffee,Coffee,3,2,2,6,2,Cash,Takeaway,04-02-2023
TXN_3779366,Cookie,Cookie,1,1,1,1,1,Digital Wallet,In-store,15-04-2023
TXN_7724048,Smoothie,Smoothie,1,4,4,4,4,Unknown,In-store,12-11-2023
TXN_2698591,Tea,Tea,5,2,1.5,7.5,1.5,Unknown,Unknown,05-08-2023
TXN_3171373,Smoothie,Smoothie,3,4,4,12,4,Credit Card,In-store,10-05-2023
TXN_6498163,Smoothie,Smoothie,5,4,4,20,4,Unknown,In-store,15-07-2023
TXN_6717827,Unknown,Salad,3,5,5,15,5,Digital Wallet,Unknown,15-11-2023
TXN_9089898,Salad,Salad,3,5,5,15,5,Credit Card,Unknown,11-01-2023
TXN_8587583,Cake,Cake,1,3,3,3,3,Unknown,Unknown,01-10-2023
TXN_8693704,Salad,Salad,5,5,5,25,5,Cash,In-store,04-05-2023
TXN_3857960,Salad,Salad,4,5,5,20,5,Cash,In-store,26-04-2023
TXN_3499124,Unknown,Smoothie,4,4,4,16,4,Credit Card,Unknown,25-08-2023
TXN_9250710,Salad,Salad,1,5,5,5,5,Cash,In-store,28-05-2023
TXN_7058377,Juice,Juice,1,3,3,3,3,Unknown,Takeaway,30-04-2023
TXN_6766492,Salad,Salad,1,5,5,5,5,Unknown,Unknown,14-01-2023
TXN_9879996,Coffee,Coffee,4,2,2,8,2,Digital Wallet,In-store,01-03-2023
TXN_4291940,Cake,Cake,3,3,3,9,3,Credit Card,In-store,13-11-2023
TXN_7433461,Cookie,Cookie,2,1,1,2,1,Digital Wallet,Unknown,09-07-2023
TXN_4068262,Salad,Salad,2,5,5,10,5,Credit Card,Unknown,13-05-2023
TXN_5047447,Salad,Salad,1,5,5,5,5,Digital Wallet,Takeaway,27-12-2023
TXN_6623508,Cookie,Cookie,5,1,1,5,1,Digital Wallet,Takeaway,18-05-2023
TXN_2651216,Unknown,Smoothie,3,4,4,12,4,Unknown,Unknown,04-04-2023
TXN_9350833,Cake,Cake,1,3,3,3,3,Cash,Takeaway,17-01-2023
TXN_8377564,Cake,Cake,5,3,3,15,3,Unknown,In-store,14-07-2023
TXN_7031118,Salad,Salad,1,5,5,5,5,Credit Card,Unknown,29-03-2023
TXN_2230167,Cake,Cake,4,3,3,12,3,Digital Wallet,Takeaway,22-09-2023
TXN_6446616,Tea,Tea,3,2,1.5,4.5,1.5,Unknown,Unknown,30-09-2023
TXN_1721827,Cake,Cake,4,3,3,12,3,Digital Wallet,Unknown,22-08-2023
TXN_6334895,Smoothie,Smoothie,1,4,4,4,4,Credit Card,Unknown,27-07-2023
TXN_7077119,Unknown,Smoothie,1,4,4,4,4,Digital Wallet,In-store,30-12-2023
TXN_8562645,Salad,Salad,0,5,5,0,FALSE,Unknown,In-store,18-05-2023
TXN_4700144,Coffee,Coffee,4,2,2,8,2,Unknown,In-store,21-12-2023
TXN_5526852,Sandwich,Sandwich,5,4,4,20,4,Digital Wallet,In-store,28-09-2023
TXN_6846228,Salad,Salad,3,5,5,15,5,Unknown,In-store,16-11-2023
TXN_8570890,Juice,Juice,4,3,3,12,3,Unknown,Unknown,14-04-2023
TXN_3205009,Unknown,Tea,2,2,1.5,3,1.5,Cash,In-store,03-01-2023
TXN_3786188,Tea,Tea,3,2,1.5,4.5,1.5,Credit Card,In-store,20-10-2023
TXN_4530804,Coffee,Coffee,4,2,2,8,2,Unknown,Unknown,12-01-2023
TXN_9642066,Sandwich,Sandwich,3,4,4,12,4,Credit Card,In-store,31-08-2023
TXN_7328294,Juice,Juice,2,3,3,6,3,Cash,Unknown,07-07-2023
TXN_9238066,Unknown,Tea,5,2,1.5,7.5,1.5,Digital Wallet,In-store,15-09-2023
TXN_5415901,Cake,Cake,2,3,3,6,3,Digital Wallet,Unknown,21-10-2023
TXN_6714420,Unknown,Cake,2,3,3,6,3,Credit Card,Takeaway,30-03-2023
TXN_6616971,Juice,Juice,2,3,3,6,3,Digital Wallet,Takeaway,02-09-2023
TXN_7803615,Salad,Salad,3,5,5,15,5,Cash,In-store,13-12-2023
TXN_3544789,Tea,Tea,4,2,1.5,6,1.5,Unknown,In-store,14-07-2023
TXN_1583597,Salad,Salad,1,5,5,5,5,Cash,In-store,10-05-2023
TXN_8472308,Cookie,Cookie,2,1,1,2,1,Digital Wallet,Takeaway,19-08-2023
TXN_1967565,Smoothie,Smoothie,5,4,4,20,4,Credit Card,Takeaway,31-03-2023
TXN_2029497,Sandwich,Sandwich,2,4,4,8,4,Cash,Takeaway,06-01-2023
TXN_8929774,Unknown,Cake,3,3,3,9,3,Cash,Unknown,02-10-2023
TXN_7852990,Sandwich,Sandwich,5,4,4,20,4,Digital Wallet,Takeaway,10-07-2023
TXN_2534066,Salad,Salad,2,5,5,10,5,Cash,Unknown,13-10-2023
TXN_2059647,Tea,Tea,1,2,1.5,1.5,1.5,Digital Wallet,In-store,29-05-2023
TXN_2485183,Smoothie,Smoothie,5,4,4,20,4,Cash,In-store,07-07-2023
TXN_7374846,Sandwich,Sandwich,1,4,4,4,4,Credit Card,Unknown,29-05-2023
TXN_9401522,Sandwich,Sandwich,4,4,4,16,4,Digital Wallet,In-store,16-11-2023
TXN_8250651,Sandwich,Sandwich,4,4,4,16,4,Digital Wallet,In-store,13-03-2023
TXN_7191245,Cake,Cake,4,3,3,12,3,Unknown,Takeaway,22-05-2023
TXN_8982764,Cake,Cake,5,3,3,15,3,Digital Wallet,Takeaway,23-11-2023
TXN_8669422,Unknown,Cake,4,3,3,12,3,Cash,Takeaway,15-10-2023
TXN_1153869,Smoothie,Smoothie,5,4,4,20,4,Credit Card,Takeaway,03-11-2023
TXN_5043774,Sandwich,Sandwich,3,4,4,12,4,Cash,Unknown,08-06-2023
TXN_1746320,Salad,Salad,1,5,5,5,5,Cash,Unknown,14-11-2023
TXN_1077129,Cookie,Cookie,1,1,1,1,1,Unknown,In-store,12-09-2023
TXN_4865338,Sandwich,Sandwich,4,4,4,16,4,Unknown,In-store,26-11-2023
TXN_5616583,Smoothie,Smoothie,1,4,4,4,4,Unknown,Unknown,13-10-2023
TXN_2078474,Cookie,Cookie,2,1,1,2,1,Unknown,Takeaway,03-11-2023
TXN_2130245,Smoothie,Smoothie,5,4,4,20,4,Credit Card,Unknown,13-11-2023
TXN_3229409,Juice,Juice,0,3,3,0,FALSE,Cash,Takeaway,15-04-2023
TXN_9076216,Cake,Cake,1,3,3,3,3,Cash,Unknown,17-12-2023
TXN_6371987,Tea,Tea,5,2,1.5,7.5,1.5,Unknown,Takeaway,13-03-2023
TXN_9913877,Unknown,Coffee,2,2,2,4,2,Credit Card,Unknown,09-05-2023
TXN_2084377,Smoothie,Smoothie,1,4,4,4,4,Credit Card,Unknown,22-10-2023
TXN_1842675,Unknown,Cookie,4,1,1,4,1,Credit Card,Takeaway,23-06-2023
TXN_8605813,Cookie,Cookie,1,1,1,1,1,Unknown,Unknown,30-06-2023
TXN_9755352,Sandwich,Sandwich,5,4,4,20,4,Unknown,In-store,13-05-2023
TXN_2305908,Coffee,Coffee,4,2,2,8,2,Cash,Unknown,25-04-2023
TXN_6953697,Unknown,Smoothie,3,4,4,12,4,Unknown,Takeaway,27-05-2023
TXN_3495950,Unknown,Tea,4,,1.5,6,1.5,Credit Card,In-store,19-02-2023
TXN_7557340,Tea,Tea,5,2,1.5,7.5,1.5,Credit Card,In-store,11-12-2023
TXN_1157817,Smoothie,Smoothie,1,4,4,4,4,Digital Wallet,In-store,25-04-2023
TXN_2020318,Tea,Tea,3,2,1.5,4.5,1.5,Digital Wallet,In-store,12-10-2023
TXN_8692094,Coffee,Coffee,5,2,2,10,2,Unknown,Takeaway,30-08-2023
TXN_5307411,Cake,Cake,3,3,3,9,3,Digital Wallet,Takeaway,21-10-2023
TXN_9703120,Coffee,Coffee,3,2,2,6,2,Credit Card,Unknown,02-11-2023
TXN_1289133,Juice,Juice,1,3,3,3,3,Cash,Unknown,19-09-2023
TXN_2031459,Cake,Cake,3,3,3,9,3,Cash,Takeaway,04-07-2023
TXN_1333682,Smoothie,Smoothie,1,4,4,4,4,Digital Wallet,Unknown,28-01-2023
TXN_2256622,Cookie,Cookie,2,1,1,2,1,Cash,In-store,04-10-2023
TXN_4912930,Smoothie,Smoothie,3,4,4,12,4,Credit Card,In-store,26-02-2023
TXN_4942692,Coffee,Coffee,2,2,2,4,2,Unknown,Takeaway,15-01-2023
TXN_3723007,Tea,Tea,3,2,1.5,4.5,1.5,Digital Wallet,In-store,18-05-2023
TXN_7922392,Sandwich,Sandwich,3,4,4,12,4,Unknown,Unknown,03-05-2023
TXN_7498727,Salad,Salad,3,5,5,15,5,Cash,Unknown,06-11-2023
TXN_1222338,Cookie,Cookie,1,1,1,1,1,Unknown,In-store,11-10-2023
TXN_6878866,Smoothie,Smoothie,3,4,4,12,4,Credit Card,Unknown,25-02-2023
TXN_9223242,Smoothie,Smoothie,2,4,4,8,4,Unknown,Unknown,10-09-2023
TXN_6244211,Smoothie,Smoothie,2,4,4,8,4,Unknown,Unknown,11-08-2023
TXN_5446858,Unknown,Cookie,1,1,1,1,1,Cash,In-store,07-11-2023
TXN_4612864,Tea,Tea,3,2,1.5,4.5,1.5,Unknown,Unknown,14-02-2023
TXN_5411381,Cookie,Cookie,1,1,1,1,1,Unknown,Unknown,28-04-2023
TXN_3047598,Cookie,Cookie,1,1,1,1,1,Unknown,Unknown,06-09-2023
TXN_5754317,Coffee,Coffee,2,2,2,4,2,Credit Card,Takeaway,10-01-2023
TXN_7496926,Sandwich,Sandwich,3,4,4,12,4,Unknown,In-store,23-04-2023
TXN_7559388,Salad,Salad,4,5,5,20,5,Digital Wallet,Takeaway,26-02-2023
TXN_8540499,Cookie,Cookie,3,1,1,3,1,Cash,In-store,22-01-2023
TXN_4225756,Cookie,Cookie,3,1,1,3,1,Unknown,In-store,10-03-2023
TXN_6795640,Cookie,Cookie,4,1,1,4,1,Digital Wallet,Takeaway,28-01-2023
TXN_6702428,Coffee,Coffee,5,2,2,10,2,Cash,Takeaway,11-08-2023
